freq,na_item,unit,geo\TIME_PERIOD	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,P7,PC_GDP,AL	52.0 	47.6 	47.0 	47.2 	44.5 	45.8 	46.6 	45.2 	45.0 	37.2 	44.7 p	47.8 e
A,P7,PC_GDP,AT	51.2 	51.2 	50.6 	50.1 	49.3 	48.6 	50.9 	52.5 	52.1 	48.6 	55.3 	59.3 
A,P7,PC_GDP,BA	55.8 	55.8 	54.2 	56.6 	53.2 	52.3 	56.3 	56.4 	54.5 	47.9 	53.9 	60.9 
A,P7,PC_GDP,BE	80.8 	80.3 	78.5 	79.0 	76.4 	78.2 	82.1 	83.4 	81.8 	77.7 p	85.8 p	97.7 p
A,P7,PC_GDP,BG	58.7 	63.6 	65.2 	65.7 	62.9 	59.0 	62.7 	63.2 	60.7 	54.2 	59.6 	67.7 p
A,P7,PC_GDP,CH	59.1 	58.7 	61.6 	54.9 	53.3 	56.7 	57.3 	57.0 	57.2 	57.9 	59.5 	62.7 
A,P7,PC_GDP,CY	57.2 	57.1 	59.6 	64.9 	67.3 	68.5 	74.2 	73.6 	75.5 	82.8 	83.7 	91.9 p
A,P7,PC_GDP,CZ	67.0 	70.9 	70.4 	75.6 	74.6 	71.5 	71.5 	71.0 	67.9 	63.2 	69.8 	74.9 
A,P7,PC_GDP,DE	40.1 	40.2 	39.7 	39.0 	39.3 	38.7 	40.1 	41.2 	41.0 p	37.4 p	41.7 p	48.3 p
A,P7,PC_GDP,DK	47.4 	48.6 	48.2 	47.7 	48.6 	46.7 	47.9 	50.4 	51.6 	48.6 	52.5 	58.7 
A,P7,PC_GDP,EA19	40.4 	40.8 	40.4 	40.6 	41.5 	41.1 	42.9 	44.0 	44.8 	41.7 	45.4 	53.1 
A,P7,PC_GDP,EA20	40.4 	40.8 	40.4 	40.7 	41.6 	41.1 	42.9 	44.1 	44.8 	41.7 	45.5 	53.2 
A,P7,PC_GDP,EE	80.8 	84.6 	81.9 	78.4 	73.5 	73.4 	71.8 	71.6 	69.9 	69.2 	78.7 	86.1 
A,P7,PC_GDP,EL	31.3 	33.3 	32.7 	34.0 	33.2 	32.7 	36.5 	41.2 	41.8 	39.7 p	48.6 p	58.2 p
A,P7,PC_GDP,ES	29.3 	29.4 	29.0 	30.4 	30.6 	29.9 	31.5 	32.4 	32.0 	29.3 p	33.4 p	40.1 p
A,P7,PC_GDP,EU27_2020	41.5 	41.9 	41.5 	41.9 	42.7 	42.3 	44.0 	45.3 	45.9 	42.8 	46.7 	54.4 
A,P7,PC_GDP,FI	39.7 	40.4 	39.1 	37.6 	36.0 	36.1 	37.5 	39.7 	39.7 	35.7 	39.5 	47.6 
A,P7,PC_GDP,FR	30.4 	30.5 	30.4 	30.8 	31.2 	30.9 	32.0 	32.7 	32.5 	29.4 	31.4 p	38.1 p
A,P7,PC_GDP,HR	39.9 	40.5 	41.8 	43.1 	45.5 	45.8 	48.5 	50.3 	51.0 	48.5 	52.7 p	65.3 p
A,P7,PC_GDP,HU	80.4 	79.8 	78.9 	81.3 	79.8 	78.0 	79.3 	79.5 	79.2 	76.8 	79.9 p	94.5 p
A,P7,PC_GDP,IE	84.6 	87.0 	85.2 	92.1 	93.3 	106.0 	99.0 	94.3 	124.4 	114.4 	95.0 	99.6 
A,P7,PC_GDP,IS	46.9 	49.2 	45.5 	45.1 	44.2 	40.8 	41.2 	42.6 	39.2 	34.8 	39.4 	47.0 
A,P7,PC_GDP,IT	28.3 	27.3 	26.2 	26.2 	26.7 	26.0 	27.9 	28.9 	28.3 	25.8 	30.4 	38.7 
A,P7,PC_GDP,LT	75.6 	77.6 	77.2 	70.5 	69.8 	66.9 	71.3 	73.4 	72.0 	63.9 	76.0 	89.5 
A,P7,PC_GDP,LU	139.2 	140.6 	144.2 	150.6 	159.3 	157.3 	161.0 	164.9 	173.5 	165.6 	176.7 	175.1 p
A,P7,PC_GDP,LV	65.7 	66.8 	64.8 	64.1 	62.0 	59.3 	62.2 	62.1 	60.5 	59.0 	67.1 	76.2 
A,P7,PC_GDP,ME	64.3 	68.1 	61.4 	60.0 	60.6 	63.1 	64.5 	66.7 	65.0 	61.0 	62.2 	76.0 p
