"https://upload.wikimedia.org/wikipedia/commons/thumb/3/31/201_Elements_of_the_Human_Body.02.svg/300px-201_Elements_of_the_Human_Body.02.svg.png","Element","Symbol","percentmass","percentatoms"
"","Oxygen","O","65.0","24.0"
"","Carbon","C","18.5","12.0"
"","Hydrogen","H","10","62.0"
"","Nitrogen","N","3.2","1.1"
"","Calcium","Ca","1.5","0.22"
"","Phosphorus","P","1.0","0.22"
"","Potassium","K","0.4","0.03"
"","Sulfur","S","0.3","0.038"
"","Sodium","Na","0.2","0.037"
"","Chlorine","Cl","0.2","0.024"
"","Magnesium","Mg","0.1","0.015"
"","All others","","< 0.1","< 0.3"
