freq,na_item,unit,geo\TIME_PERIOD	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,P6,PC_GDP,AL	29.2 	28.9 	28.9 	28.2 	27.3 	29.0 	31.6 	31.6 	31.3 	22.7 	31.3 p	37.5 e
A,P6,PC_GDP,AT	53.9 	54.0 	53.4 	53.4 	53.1 	52.4 	54.1 	55.5 	55.8 	51.6 	55.9 	60.8 
A,P6,PC_GDP,BA	32.0 	32.4 	33.7 	34.0 	35.1 	35.9 	40.3 	42.0 	40.0 	34.2 	42.2 	46.2 
A,P6,PC_GDP,BE	80.7 	80.4 	79.3 	79.8 	77.8 	79.4 	83.2 	83.1 	82.4 	79.4 p	86.8 p	95.3 p
A,P6,PC_GDP,BG	58.8 	60.4 	64.6 	64.6 	63.8 	63.9 	67.0 	65.7 	63.9 	56.1 	61.3 	68.5 p
A,P6,PC_GDP,CH	66.4 	67.8 	72.1 	65.3 	63.8 	66.8 	66.3 	67.5 	67.0 	64.3 	71.4 	75.0 
A,P6,PC_GDP,CY	53.5 	55.3 	61.3 	66.0 	70.0 	70.5 	73.8 	75.0 	76.5 	81.4 	86.6 	91.5 p
A,P6,PC_GDP,CZ	70.8 	75.6 	76.1 	82.0 	80.6 	79.1 	79.0 	76.9 	73.9 	69.9 	72.7 	74.8 
A,P6,PC_GDP,DE	45.1 	46.3 	45.4 	45.6 	46.9 	46.1 	47.2 	47.3 	46.7 p	43.0 p	47.0 p	50.3 p
A,P6,PC_GDP,DK	53.8 	54.6 	54.8 	54.6 	55.4 	53.4 	55.1 	56.6 	58.6 	54.9 	59.7 	69.3 
A,P6,PC_GDP,EA19	42.0 	43.7 	43.9 	44.5 	46.0 	45.5 	47.2 	48.1 	48.2 	45.3 	49.3 	54.7 
A,P6,PC_GDP,EA20	42.0 	43.7 	43.9 	44.5 	46.0 	45.5 	47.2 	48.1 	48.2 	45.3 	49.3 	54.8 
A,P6,PC_GDP,EE	86.6 	86.2 	84.6 	81.9 	77.4 	77.0 	75.8 	74.3 	73.9 	69.3 	78.3 	85.5 
A,P6,PC_GDP,EL	25.5 	28.7 	30.2 	32.5 	32.1 	31.3 	35.0 	39.0 	40.1 	32.0 p	40.9 p	48.7 p
A,P6,PC_GDP,ES	29.5 	31.5 	33.0 	33.5 	33.6 	33.9 	35.1 	35.1 	34.9 	30.8 p	34.9 p	41.6 p
A,P6,PC_GDP,EU27_2020	43.2 	44.8 	45.0 	45.7 	47.1 	46.6 	48.3 	49.1 	49.3 	46.4 	50.4 	55.9 
A,P6,PC_GDP,FI	38.9 	38.8 	38.0 	36.5 	35.4 	34.8 	37.5 	38.5 	39.9 	35.8 	39.6 	44.9 
A,P6,PC_GDP,FR	28.4 	29.2 	29.4 	29.7 	30.6 	30.2 	30.9 	31.7 	31.6 	27.5 	29.4 p	34.0 p
A,P6,PC_GDP,HR	38.2 	38.9 	39.8 	42.7 	45.7 	46.9 	49.1 	49.4 	50.6 	41.5 	51.3 p	60.6 p
A,P6,PC_GDP,HU	86.1 	85.9 	85.4 	87.1 	87.5 	86.4 	85.9 	83.8 	81.5 	78.7 	80.3 p	90.4 p
A,P6,PC_GDP,IE	103.3 	104.4 	104.0 	110.1 	122.1 	121.7 	121.0 	122.8 	127.9 	133.3 	134.4 	137.0 
